Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
P168_A06083_w0.24h_rep1,post-vaccination blood sample from animal A06083 at w0.w0h,US93503719_254853410001_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06083,Macaca mulatta,A06083,ALV-Control,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
P168_A06019_w0.0h,pre-vaccination blood sample from animal A06019 at w0.w0h,US93503719_254853410001_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06055_w0.6h,post-vaccination blood sample from animal A06055 at w0.w0h,US93503719_254853410001_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06028_w0.24h,post-vaccination blood sample from animal A06028 at w0.w0h,US93503719_254853410001_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
Control.31,Control,US93503719_254853410001_S01_GE1_107_Sep09_2_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06023_w0.24h,post-vaccination blood sample from animal A06023 at w0.w0h,US93503719_254853410001_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
P168_A06016_w0.24h,post-vaccination blood sample from animal A06016 at w0.w0h,US93503719_254853410001_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06016,Macaca mulatta,A06016,ALV-Control,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
P168_A06072_w0.6h,post-vaccination blood sample from animal A06072 at w0.w0h,US93503719_254853410001_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06072,Macaca mulatta,A06072,NYV-SIV,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06082_w0.0h_rep1,pre-vaccination blood sample from animal A06082 at w0.w0h,US93503719_254853410002_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06082,Macaca mulatta,A06082,ALV-SIV,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06021_w0.6h,post-vaccination blood sample from animal A06021 at w0.w0h,US93503719_254853410002_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06021,Macaca mulatta,A06021,NYV-SIV,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06032_w0.0h,pre-vaccination blood sample from animal A06032 at w0.w0h,US93503719_254853410002_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06032,Macaca mulatta,A06032,NYV-Control,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
Control.33,Control,US93503719_254853410002_S01_GE1_107_Sep09_1_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06019_w0.6h,post-vaccination blood sample from animal A06019 at w0.w0h,US93503719_254853410002_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-Control,GPL17463
P168_A06015_w0.0h,pre-vaccination blood sample from animal A06015 at w0.w0h,US93503719_254853410002_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06015,Macaca mulatta,A06015,NYV-SIV,4,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06085_w0.0h,pre-vaccination blood sample from animal A06085 at w0.w0h,US93503719_254853410002_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06085,Macaca mulatta,A06085,NYV-Control,4,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06083_w0.6h,post-vaccination blood sample from animal A06083 at w0.w0h,US93503719_254853410002_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06083,Macaca mulatta,A06083,ALV-Control,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-Control,GPL17463
P168_A06059_w0.24h,post-vaccination blood sample from animal A06059 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06059,Macaca mulatta,A06059,ALV-SIV,11,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_A06070_w0.0h,pre-vaccination blood sample from animal A06070 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
